movie_title,movie_imdb_url,bechdel_rating
xXx: Return of Xander Cage  ,http://us.imdb.com/title/tt1293847/,3
You Get Me  ,http://us.imdb.com/title/tt5539054/,3
You Were Never Really Here ,http://us.imdb.com/title/tt5742374/,1
10 Cloverfield Lane  ,http://us.imdb.com/title/tt1179933/,3
10 Days In A Madhouse  ,http://us.imdb.com/title/tt3453052/,3
13 Hours  ,http://us.imdb.com/title/tt4172430/,2
20th Century Women  ,http://us.imdb.com/title/tt4385888/,3
The 5th Wave  ,http://us.imdb.com/title/tt2304933/,2
The 9th Life of Louis Drax ,http://us.imdb.com/title/tt3991412/,1
A Cure for Wellness ,http://us.imdb.com/title/tt4731136/,1
A Dark Song  ,http://us.imdb.com/title/tt4805316/,0
A Monster Calls  ,http://us.imdb.com/title/tt3416532/,3
A Quiet Passion ,http://us.imdb.com/title/tt2392830/,3
A United Kingdom  ,http://us.imdb.com/title/tt3387266/,3
Absolutely Fabulous: The Movie  ,http://us.imdb.com/title/tt2112096/,3
The Accountant  ,http://us.imdb.com/title/tt2140479/,2
Adventures in Babysitting  ,http://us.imdb.com/title/tt4456850/,3
Alice Through the Looking Glass  ,http://us.imdb.com/title/tt2567026/,3
All Girls Weekend  ,http://us.imdb.com/title/tt4247682/,3
Allied  ,http://us.imdb.com/title/tt3640424/,3
Almost Christmas  ,http://us.imdb.com/title/tt4649416/,3
Always Shine  ,http://us.imdb.com/title/tt4392770/,3
American Honey ,http://us.imdb.com/title/tt3721936/,3
The Angry Birds Movie ,http://us.imdb.com/title/tt1985949/,1
Approaching the Unknown  ,http://us.imdb.com/title/tt2674430/,0
Aquarius ,http://us.imdb.com/title/tt5221584/,3
Arrival  ,http://us.imdb.com/title/tt2543164/,3
Aruvi  ,http://us.imdb.com/title/tt5867800/,3
Assassin's Creed  ,http://us.imdb.com/title/tt2094766/,1
The Autopsy of Jane Doe  ,http://us.imdb.com/title/tt3289956/,1
Bad Moms  ,http://us.imdb.com/title/tt4651520/,3
