movie_name,movie_yr,movie_directors,movie_writers
The Woman Next Door,1981,['François Truffaut'],"['François Truffaut', 'Suzanne Schiffman']"
Airplane!,1980,"['Jim Abrahams', 'David Zucker', '1 more credit']","['Jim Abrahams', 'David Zucker']"
Any Which Way You Can,1980,['Buddy Van Horn'],"['Stanford Sherman', 'Jeremy Joe Kronsberg']"
Atlantic City,1980,['Louis Malle'],['John Guare']
Battle Beyond the Stars,1980,"['Jimmy T. Murakami', 'Roger Corman']","['John Sayles', 'John Sayles']"
The Blue Lagoon,1980,['Randal Kleiser'],"['Henry De Vere Stacpoole', 'Douglas Day Stewart']"
The Blues Brothers,1980,['John Landis'],"['Dan Aykroyd', 'John Landis']"
Can't Stop the Music,1980,['Nancy Walker'],"['Bronte Woodard', 'Allan Carr']"
Cannibal Holocaust,1980,['Ruggero Deodato'],"['Gianfranco Clerici', 'Giorgio Stegani']"
Coal Miner's Daughter,1980,['Michael Apted'],"['Thomas Rickman', 'Loretta Lynn']"
Cruising,1980,['William Friedkin'],"['William Friedkin', 'Gerald Walker']"
Fade to Black,1980,['Vernon Zimmerman'],['Vernon Zimmerman']
Fame,1980,['Alan Parker'],['Christopher Gore']
The Final Countdown,1980,['Don Taylor'],"['Thomas Hunter', 'Peter Powell']"
Flash Gordon,1980,['Mike Hodges'],"['Lorenzo Semple Jr.', 'Michael Allin']"
The Fog,1980,['John Carpenter'],"['John Carpenter', 'Debra Hill']"
Friday the 13th,1980,['Sean S. Cunningham'],['Victor Miller']
Heaven's Gate,1980,['Michael Cimino'],['Michael Cimino']
Indul a bakterház,1980,['Sándor Mihályfy'],"['Sándor Rideg', 'György Schwajda']"
The King and the Mockingbird,1980,['Paul Grimault'],"['Hans Christian Andersen', 'Jacques Prévert']"
La terrazza,1980,['Ettore Scola'],"['Agenore Incrocci', 'Furio Scarpelli']"
Little Darlings,1980,['Ron Maxwell'],"['Kimi Peck', 'Dalene Young']"
Coming Attractions,1978,['Ira Miller'],"['Ian Praiser', 'Varley Smith']"
Maniac,1980,['William Lustig'],"['C.A. Rosenberg', 'Joe Spinell']"
The Mirror Crack'd,1980,['Guy Hamilton'],"['Jonathan Hales', 'Barry Sandler']"
Moscow Does Not Believe in Tears,1980,['Vladimir Menshov'],"['Valentin Chernykh', 'Vladimir Menshov']"
Nightmare City,1980,['Umberto Lenzi'],"['Antonio Cesare Corti', 'Luis María Delgado']"
Nine to Five,1980,['Colin Higgins'],"['Patricia Resnick', 'Colin Higgins']"
The Ninth Configuration,1980,['William Peter Blatty'],"['William Peter Blatty', 'William Peter Blatty']"
The Nude Bomb,1980,['Clive Donner'],"['Mel Brooks', 'Buck Henry']"
Ordinary People,1980,['Robert Redford'],"['Judith Guest', 'Alvin Sargent']"
"Pepi, Luci, Bom y otras chicas del montón",1980,['Pedro Almodóvar'],"['Pedro Almodóvar', 'Pedro Almodóvar']"
Private Benjamin,1980,['Howard Zieff'],"['Nancy Meyers', 'Charles Shyer']"
Raging Bull,1980,['Martin Scorsese'],"['Jake LaMotta', 'Joseph Carter']"
Resurrection,1980,['Daniel Petrie'],['Lewis John Carlino']
The Shining,1980,['Stanley Kubrick'],"['Stephen King', 'Stanley Kubrick']"
Somewhere in Time,1980,['Jeannot Szwarc'],"['Richard Matheson', 'Richard Matheson']"
